产品名称,产品链接
Apex Vision AI,https://apexvision.ai/
Google Skills,https://www.skills.google/
Photomath,https://photomath.com/
Astra AI,https://astra-ai.co/
Brainly,https://brainly.com/
Penseum,https://penseum.com/
Knowt,https://knowt.com/
Teachy,https://teachy.ai/
MagicSchool,https://www.magicschool.ai/
Edubrain,https://edubrain.ai/
Studley AI,https://www.studley.ai/
Math AI,https://math-gpt.ai/
TurboLearn,https://turbo-learn.com/
Oboe,https://oboe.fyi/
Mathful,https://mathful.com/
优设网,
StudyX,https://studyx.ai/
Khanmigo,https://www.khanmigo.ai/
Course Hero,https://www.coursehero.com/
Gauthmath,https://www.gauthmath.com/
Curipod,https://curipod.com/
Outlier AI,https://outlier.ai/
Studocu,https://www.studocu.com/en-us
Duolingo,https://en.duolingo.com/
EF Hello,https://hello.ef.com/zh-Hant
Indigo,https://indigo.ai/en/
Tutor AI,https://tutorai.me/
Heuristica,https://www.heuristi.ca/
Syntea,https://www.iu.org/digital-tools/syntea/
WolframAIpha,https://www.wolframalpha.com/
Brilliant,https://brilliant.org/courses/intro-neural-networks/
NoteGPT,https://notegpt.io/
ML For Beginners,https://microsoft.github.io/ML-For-Beginners/#/
Replicate,https://replicate.com/home
AI大学堂,https://www.aidaxue.com/
出门问问,https://www.chumenwenwen.com/zh/
Coursera,https://www.coursera.org/collections/best-machine-learning-ai
Deeplearning,https://www.deeplearning.ai/
Elements of AI,https://www.elementsofai.com/
Udemy,https://www.udemy.com/
kaggle,https://www.kaggle.com/
Udacity AI学院,https://www.udacity.com/
