产品名称,产品链接
Cuckoo,https://www.cuckoo.so/
百度翻译,
彩云小译,https://fanyi.caiyunapp.com/
搜狗翻译,https://fanyi.sogou.com/text
讯飞智能翻译,https://fanyi.xfyun.cn/console/trans/text
有道翻译,https://fanyi.youdao.com/index.html#/AITranslate
阿里翻译,https://translate.alibaba.com/
Google翻译,https://translate.google.com/
腾讯交互翻译,https://transmart.qq.com/zh-CN/index
必应翻译,https://www.bing.com/translator
DeepL翻译,https://www.deepl.com/zh/translator
AI TransPDF,https://aitranspdf.com/zh-CN
BabelDOC,https://app.immersivetranslate.com/babel-doc/
Belin Doc,https://belindoc.com/zh
秘塔AI翻译,https://fanyi.metaso.cn/#/
