产品名称,产品链接
Speechify,https://speechify.com/
音剪,https://audioeditor.ximalaya.com/
爱声音坊 AiSounds,https://aisounds.cn/
SpotScribe,https://spotscribe.io/
Exemplary AI,https://exemplary.ai/
音虫,https://www.soundbug.com/
VideoSDK,https://videosdk.live/
音述AI,https://www.yinshu.me/
Sounder AI,https://www.sounder.ai/en
万象有声,https://www.audimind.com/
SongSens.ai,https://songsens.ai/
Soundful,https://soundful.com/
FineVoice,https://finevoice.ai/
Narakeet,https://www.narakeet.com/
Spotiguess,https://spotiguess.com/
行者AI,https://www.xingzheai.cn/
NeverCap,https://nevercap.ai/
Transync AI,https://www.transyncai.com/
Noiz,https://noiz.ai/
逗哥配音,https://www.douge.com/
TTS-文本转语音,https://www.text-to-speech.cn/
Cartesia AI,https://cartesia.ai/
TopMediai,https://www.topmediai.com/
SAM Audio,https://ai.meta.com/samaudio/
Devoice,https://devoice.io/
DupDub,https://www.dupdub.com/
AI-song,https://ai-song.ai/
JoyCast,https://joycast.ai/
Plaud,https://www.plaud.ai/
ElevenLabs,https://elevenlabs.io/
Azure AI Speech,https://azure.microsoft.com/en-us/products/ai-services/ai-speech/
Murf,https://murf.ai/
Whisper,https://openai.com/zh-Hans-CN/index/whisper/
Supertone Play,https://play.supertone.ai/
Resemble,https://www.resemble.ai/
WellSaid,https://www.wellsaid.io/
讯飞智作,https://www.xfzhizuo.cn/
Amadeus Code,https://amadeuscode.ai/
Audo Studio,https://audo.ai/
BeepThatOut,https://beepthatout.com/
boomy,https://boomy.com/
Cleanvoice,https://cleanvoice.ai/
Copilot Labs,https://copilot.microsoft.com/labs/experiments/audio-expression
CurseCut,https://cursecut.com/
DeepBeat,https://deepbeat.org/
Lyria2,https://deepmind.google/models/lyria/
DubbingX智声云配,https://dubbingx.com/
ecrett music,https://ecrettmusic.com/
Fish Audio,https://fish.audio/zh-CN/
MusicLM,https://google-research.github.io/seanet/musiclm/examples/
PersonaTalk,https://grisoon.github.io/PersonaTalk/
DiffRhythm,https://huggingface.co/spaces/ASLP-lab/DiffRhythm
MusicFX,https://labs.google/fx/tools/music-fx
ListenHub,https://listenhub.ai/zh
MelodyStudio,https://melodystudio.net/
Mix Audio,https://mix.audio/home
Mubert AI,https://mubert.com/
Musicfy AI,https://musicfy.lol/
Online Audio,https://online-audio-converter.com/cn/
MuseNet,https://openai.com/index/musenet/
OUTPUT,https://output.com/
Play AI,https://play.ht/
Podcastle,https://podcastle.ai/
Singify,https://singify.co/
SOUNDRAW,https://soundraw.io/
听脑AI,https://itingnao.com/
Stable Audio,https://stableaudio.com/
Suno AI,https://suno.com/home
网易天音,https://tianyin.music.163.com/#/
Tracksy,https://tracksy.ai/
Unmute,https://unmute.sh/
AI Song Maker,https://www.aisongmaker.io/
AIVA,https://www.aiva.ai/
All Voice Lab,https://www.allvoicelab.cn/
Audyo,https://www.audyo.ai/
DrumloopAI,https://www.drumloopai.com/
EVABEAT,https://www.evabeat.com/
Fineshare,https://www.fineshare.com/
海绵音乐,https://www.haimian.com/
Koolio AI,https://www.koolio.ai/
LALAL.AI,https://www.lalal.ai/
LANDR,https://www.landr.com/
Loudly,https://www.loudly.com/
Musicstar AI,https://www.musicstar.ai/
Producer AI,https://www.producer.ai/waitlist
Riffle,https://www.riffle.studio/
Splash,https://www.splashmusic.com/
Supertone Clear,https://www.supertone.ai/en/clear
天谱乐,https://www.tianpuyue.cn/
UBERDUCK,https://www.uberduck.ai/
Udio,https://www.udio.com/
Voicss,https://www.voicss.com/
SongTell,https://www.songtell.com/zh
AssemblyAI,https://www.assemblyai.com/
taption,https://www.taption.com/
Hume,https://www.hume.ai/
魔音工坊,https://www.moyin.com/
VocalRemover,https://vocalremover.org/zh/
BedtimestoryAI,https://www.bedtimestory.ai/
Beatoven,https://www.beatoven.ai/
录咖,https://reccloud.cn/
TTSMaker,https://ttsmaker.cn/
Mureka,https://www.mureka.cn/
Ondoku,https://ondoku3.com/zh-hans/
Vocal Remover,https://vocalremover.media.io/
Pocket FM,https://pocketfm.com/cn
MiniMax,https://www.minimaxi.com/audio
TemPolor,https://www.tempolor.com/
